Article ID,Feedback 1,Comments,Label(s),Link to Article,Type
1104,I didn't find any useful information.,i didnt find any store pick up. waiting long time to fix,Negative Complaint,https://seller.shopee.sg/edu/article/1104/shipping-fee-rates-shopee-supported-logistics,article
1104,I didn't find any useful information.,Did not help answer why standard economy shipping changed from 0.00 to 0.60,Negative Complaint,https://seller.shopee.sg/edu/article/1104,article
1438,I didn't find any useful information.|The lessons were too difficult.|Images/gifs did not load.|There were broken links.,Majority of your points does not support packages more than 5kg. So what am I supposed to do?,"Constructive Criticism, Genuine Question",https://seller.shopee.sg/edu/article/1438,article
1438,I didn't find any useful information.,The opening hours for J&T drop off are inaccurate. It wasted a lot of my time going to various drop off point and realised they are all closed. ,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/1438,article
1643,The lessons were too difficult.,My items are perishable mostly frozen items. I am using sellers own delivery fleet.  Would appreciate having sellers own delivery fleet. Why there is ,Constructive Criticism,https://seller.shopee.sg/edu/article/1643,article
1643,There were broken links.,How come I do not have shopee express selection for delivery to send out ,Genuine Question,https://seller.shopee.sg/edu/article/1643,article
1643,I didn't find any useful information.,If some ceiling fan need my self delivery how to setting  self delivery?,Genuine Question,https://seller.shopee.sg/edu/article/1643,article
1643,I didn't find any useful information.|The lessons were too difficult.,I can't sell my product without shipping mode. Why shopee keeps changing? Thanks. ,Genuine Question,https://seller.shopee.sg/edu/article/1643,article
1643,I didn't find any useful information.,No information on how uParcel is made available to seller. What is the criteria? How will the seller be able to activate this?,"Genuine Question, Design Feedback",https://seller.shopee.sg/edu/article/1643,article
1643,I didn't find any useful information.,Perishable food but seller own fleet delivery transport car are different each time so non of the supported delivery help and can be apply for.,Negative Complaint,https://seller.shopee.sg/edu/article/1643/use-other-shipping-channels,article
1643,I didn't find any useful information.,Shopee Supported Logistics does not provide any benefit as Shopee nor logistics can take responsibility for missing items,Negative Complaint,https://seller.shopee.sg/edu/article/1643,article
1643,The lessons were too difficult.,This NEW system don't benefit small sellers,Negative Complaint,https://seller.shopee.sg/edu/article/1643,article
1643,I didn't find any useful information.,Already submitted 3 times but no response,Negative Complaint,https://seller.shopee.sg/edu/article/1643,article
1643,Images/gifs did not load.,"I use blue sg more offten, hopefully it will be approved for me to send my big and fragile item ",Positive Comment,https://seller.shopee.sg/edu/article/1643,article
2282,I didn't find any useful information.,not informative enough,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/2282/mass-upload-template,article
2417,I didn't find any useful information.,i dont see it,Unknown,https://seller.shopee.sg/edu/article/2417/disabling-shop-decoration,article
2450,I didn't find any useful information.,does shopee add in S&P cost after the above calculation or lump in into the initial calculation after discount but before GST -seller kena S&P as cost,Genuine Question,https://seller.shopee.sg/edu/article/2450,article
2450,I didn't find any useful information.,"From 1st May, are sellers charged both transaction fee and commission fee? Please write clearly.",Genuine Question,https://seller.shopee.sg/edu/article/2450?previousPage=other%20articles,article
2452,I didn't find any useful information.,I already unsubscribe from coin cashback programme but still charging me service fees,Negative Complaint,https://seller.shopee.sg/edu/article/2452,article
2499,I didn't find any useful information.,I need to know how and where can I to drop off my product for shipment to buyer? ,Genuine Question,https://seller.shopee.sg/edu/article/2499/arranging-for-shipment,article
2501,I didn't find any useful information.,True Elements Brand. We have listed our products on your site but when we search True Elements on your site our products on site.,Design Feedback,https://seller.shopee.sg/edu/article/2501,article
2503,I didn't find any useful information.,my problem is not in your list. I unable to choose the date for pick up cos it prompt only 13-07-24 which we are closed on weekend,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/2503/labelling-the-air-waybill,article
2503,I didn't find any useful information.,"Doesnt explain what to do when after arranging shipment, cannot print ABS","Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/2503/labelling-the-air-waybill,article
2509,I didn't find any useful information.,"How do we tell if it's pick up or drop off option, it's not stated under shipping channels",Genuine Question,https://seller.shopee.sg/edu/article/2509,article
2548,I didn't find any useful information.,Did not state need to wait how long before a promotion can be set after price increase.,Constructive Criticism,https://seller.shopee.sg/edu/article/2548/,article
2548,I didn't find any useful information.,the listing should not be deleted if the seller had submitted the document,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/2548?utm_medium=notification&utm_source=webar,article
2548,I didn't find any useful information.,"This is just pure stupidity from shopee management. Consumers in the current era are not stupid,  they tend to compare prices.",Negative Complaint,https://seller.shopee.sg/edu/article/2548?utm_medium=notification&utm_source=apppn&__source__=push_notification,article
2554,I didn't find any useful information.,useless junk,Negative Complaint,https://seller.shopee.sg/edu/article/2554,article
2554,I didn't find any useful information.,Pls email me at caitlinleeyq@gmail.com in regard to banning of certain products of mine. I bought my items from LEGO itself ,Negative Complaint,https://seller.shopee.sg/edu/article/2554,article
2559,I didn't find any useful information.,our listings were deleted due to 'duplicate' but it wasnt. and CS refuse to restore it. and this article doesnt even tell properly what is considered ,Negative Complaint,https://seller.shopee.sg/edu/article/2559,article
2559,I didn't find any useful information.,Do not put this up if your system do not even abide to your terms and condition. ,Negative Complaint,https://seller.shopee.sg/edu/article/2559,article
2561,The lessons were too difficult.,didn't give me exact what we should do for my product title.,Constructive Criticism,https://seller.shopee.sg/edu/article/2561,article
2561,I didn't find any useful information.,"Please provide a detail clear explanation on which keyword the seller has used causing the keyword spam, else the seller has to keep on editng title. ",Constructive Criticism,https://seller.shopee.sg/edu/article/2561,article
2561,I didn't find any useful information.,"Product tittle should be enable to put all relevant wording, as different buyer will search using different wording. For instance T-shirt, Tee, .... ",Constructive Criticism,https://seller.shopee.sg/edu/article/2561,article
2561,I didn't find any useful information.,"Even seller indicate the size/ model in title also get banned, dont know what shopee checking team is doing, anyhow define spam","Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/2561,article
2577,I didn't find any useful information.,explain temporary,Unknown,https://seller.shopee.sg/edu/article/2577/high-late-shipment-rate-LSR-penalty-points-violation,article
2583,I didn't find any useful information.,Transation fee is not the same as commission fee?,Genuine Question,https://seller.shopee.sg/edu/article/2583,article
2594,I didn't find any useful information.,It's totally unfair.As a seller very disappointed to provide quality products and still getting unwanted and unaware reviews.,Negative Complaint,https://seller.shopee.sg/edu/article/2594/report-abusive-review,article
2610,I didn't find any useful information.,What does unique buyers and net sales mean?,Genuine Question,https://seller.shopee.sg/edu/article/2610,article
2760,I didn't find any useful information.,pls remove JNT from my shop! thank you ,Design Feedback,https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
2760,I didn't find any useful information.,Signpost normal delivery ,Design Feedback,https://seller.shopee.sg/edu/article/2760/Fulfilment-policy-for-use-of-non-integrated-channels,article
3272,There were broken links.,not clear information ,Negative Complaint,https://seller.shopee.sg/edu/article/3272/shipping-fee-included-removal,article
3359,I didn't find any useful information.,"hi, how to adjust your shipping fee to $8, please contact our customer support and provide them with the necessary information. Thank you.",Genuine Question,https://seller.shopee.sg/edu/article/3359,article
3688,I didn't find any useful information.,"seriously, this is making sellers extremely inconvenient, as buyers often do not check their shopee app messages.",Negative Complaint,https://seller.shopee.sg/edu/article/3688,article
3693,I didn't find any useful information.,I do not have the option in my seller page,Genuine Question,https://seller.shopee.sg/edu/article/3693,article
3693,I didn't find any useful information.,what are the charges?,Genuine Question,https://seller.shopee.sg/edu/article/3693,article
3693,I didn't find any useful information.,"I need this function. My user id is ""amee.sg"" without the quotes. Please give me the feature","Genuine Question, Constructive Criticism",https://seller.shopee.sg/edu/article/3693,article
5601,I didn't find any useful information.,How much is Shopee's percentage cut? ,Genuine Question,https://seller.shopee.sg/edu/article/5601?previousPage=other%20articles,article
6284,I didn't find any useful information.,How do I stop all the promotion as I can’t enable vacation mode??,Genuine Question,https://seller.shopee.sg/edu/article/6284,article
6285,I didn't find any useful information.,It did not mentioned that if products under promotion not able to turn on vacation mode,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/6285/vacation-mode-faqs,article
6569,I didn't find any useful information.,how to amend if the name is wrongly key in.,Genuine Question,https://seller.shopee.sg/edu/article/6569/Adding-your-brand-to-Shopee-database,article
6569,I didn't find any useful information.,reason for why the brand submition failed,"Genuine Question, Constructive Criticism",https://seller.shopee.sg/edu/article/6569/Adding-your-brand-to-Shopee-database,article
6577,I didn't find any useful information.,Looking for mass update template ,Genuine Question,https://seller.shopee.sg/edu/article/6577,article
6806,I didn't find any useful information.,I'm trying to find categories such as Food Supplement but there is no result in the page (https://seller.shopee.sg/edu/category-guide),Design Feedback,https://seller.shopee.sg/edu/article/6806,article
6806,I didn't find any useful information.,where is the link to start?,Genuine Question,https://seller.shopee.sg/edu/article/6806,article
6806,I didn't find any useful information.,Can not find Alcohol category id,Genuine Question,https://seller.shopee.sg/edu/article/6806,article
6806,The lessons were too difficult.,this is so difficult to select very annoying not so easy last time very easy to choose category,Negative Complaint,https://seller.shopee.sg/edu/article/6806,article
6806,The lessons were too difficult.|Images/gifs did not load.|There were broken links.|I didn't find any useful information.,So irritating! stop changing the category!!!!!!,Negative Complaint,https://seller.shopee.sg/edu/article/6806,article
6823,I didn't find any useful information.,Saturday DTS should not be a working day,Constructive Criticism,https://seller.shopee.sg/edu/article/6823,article
6823,I didn't find any useful information.,What about the time of purchase or doesn't it count? If buyer paid on Monday 23:59 that counts as Monday? And shipped by Wednesday? ,Genuine Question,https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=appar&__dsrn__=1,article
6823,I didn't find any useful information.,How about if no pick up from spx are courier being penalise ,Genuine Question,https://seller.shopee.sg/edu/article/6823,article
6823,I didn't find any useful information.|The lessons were too difficult.,Why hasn't the account manager contacted me? I need an account manager who understands Chinese.,"Genuine Question, Negative Complaint",https://seller.shopee.sg/edu/article/6823,article
6823,I didn't find any useful information.,This DTS 1 and DTS 2 policy is the worst policy ever. it is super stressful and confusing for both customers and sellers.,Negative Complaint,https://seller.shopee.sg/edu/article/6823,article
6823,I didn't find any useful information.,logistics not picking orders during peak period for 3 to 4 days resulting in cancellation,Negative Complaint,https://seller.shopee.sg/edu/article/6823,article
6823,The lessons were too difficult.,We pack so fast Also useless cos Spx express won’t come on time ,Negative Complaint,https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=appar,article
6823,I didn't find any useful information.,"seller prepared and arranged to ship customer's order via shopee seller center, yet Shopee's courier did not pick up from seller. So whos problem now?",Negative Complaint,https://seller.shopee.sg/edu/article/6823?utm_medium=notification&utm_source=webar,article
6830,I didn't find any useful information.,Buyer confirmation has been extended to 7 days. Shopee delays payments to sellers for up to 7 days. Pleae reverse this or we switch focus to Lazada!,Negative Complaint,https://seller.shopee.sg/edu/article/6830/Managing-transactions-with-Seller-Balance,article
6830,I didn't find any useful information.,"too many blinking too fast can't catch.Also when  creating PIN, it keep display error....","Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/6830/Managing-transactions-with-Seller-Balance,article
6836,I didn't find any useful information.,"To support small entrepreneur, please give more greenlight and intensive. Shopee wanted to limit pre-order less than 5%, a lot of charges on sellee","Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/6836,article
6838,I didn't find any useful information.,Arrange same day drop off is difficult for seller might packing the order wrongly in order to ship out fast. Nearby dont have drop off point.,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/6838/about-mass-processing-orders,article
6841,I didn't find any useful information.,for every listing there's a model for that product with various sizes. i have stock for some sizes but other sizes need pre-order . I unable set ,Constructive Criticism,https://seller.shopee.sg/edu/article/6841,article
6841,There were broken links.,No clear detail given,"Design Feedback, Unknown",https://seller.shopee.sg/edu/article/6841,article
6848,I didn't find any useful information.,Separate buyer and seller chat. I am penalised because of seller auto sending me messages which I dont reply because I am a seller as well.,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/6848/use-shopee-seller-chat,article
6850,I didn't find any useful information.,Our sub account dont have message suggestion pop up after creating shortcuts ,Design Feedback,https://seller.shopee.sg/edu/article/6850/about-chat-assistant,article
6858,There were broken links.,"No clear and correct detail given (a proper method) under ""Suggestion"" ","Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/6858/shopee-listing-violation-policy,article
6867,I didn't find any useful information.|The lessons were too difficult.,try to do discount. yet totally different. cancel all discount. ,Negative Complaint,https://seller.shopee.sg/edu/article/6867,article
6870,I didn't find any useful information.,We were not able to dispute on the requests,Negative Complaint,https://seller.shopee.sg/edu/article/6870,article
6884,I didn't find any useful information.,Can I k ow what is the item that is counterfeit .lol,Genuine Question,https://seller.shopee.sg/edu/article/6884?utm_medium=notification&utm_source=appar,article
6884,I didn't find any useful information.,Nothing is infringed in my shop on PC version. You might have sent wrong messages ,Negative Complaint,https://seller.shopee.sg/edu/article/6884?utm_medium=notification&utm_source=appar,article
6897,The lessons were too difficult.,pls contact us 98160687 ,Unknown,https://seller.shopee.sg/edu/article/6897/shopee-seller-penalty-points-system,article
6913,I didn't find any useful information.,It is not helpful when I cannot upload a product image for my listing directly from media space after I have done the logo overlay.,Negative Complaint,https://seller.shopee.sg/edu/article/6913,article
6949,I didn't find any useful information.,"This is just 1 sided loop, keeping 3rd party courier outside the loop. Issues such as damage by courier was never included by Shopee.","Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/6949,article
7029,I didn't find any useful information.,Unable to upload previous version template (before 24/Apr/2023),"Design Feedback, Constructive Criticism",https://seller.shopee.sg/edu/article/7029/about-mass-update,article
7039,I didn't find any useful information.,What about frozen products such as seafood and ice-cream?,Genuine Question,https://seller.shopee.sg/edu/article/7039,article
7039,I didn't find any useful information.,How about the others details of pick up locations nor the drop off points location-based on my delivery address for buyer or seller? ,Genuine Question,https://seller.shopee.sg/edu/article/7039,article
7039,I didn't find any useful information.,customer want to self pickup from our shop,Unknown,https://seller.shopee.sg/edu/article/7039,article
7041,I didn't find any useful information.,"pls assist to check why my account still cannot choose pickup from jnt,i alrdy fullfill 5 order per day pickup",Genuine Question,https://seller.shopee.sg/edu/article/7041,article
7069,I didn't find any useful information.,this is not related to Shopee Ads express programn,Unknown,https://seller.shopee.sg/edu/article/7069,article
7074,I didn't find any useful information.,What are the criteria for participating,Genuine Question,https://seller.shopee.sg/edu/article/7074/shopee-flash-deals,article
7088,I didn't find any useful information.,outdated instruction with new crm setting,Constructive Criticism,https://seller.shopee.sg/edu/article/7088/about-chat-broadcast,article
7203,I didn't find any useful information.,Misleading and unhelpful,Negative Complaint,https://seller.shopee.sg/edu/article/7203,article
7203,I didn't find any useful information.,We got license for selling alcohol. Selling it around 5 years. Why now you have banned bomond vodka. We are a dealer the product,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/7203,article
7315,I didn't find any useful information.,cant find it at all,Negative Complaint,https://seller.shopee.sg/edu/article/7315/about-shop-categories,article
7770,I didn't find any useful information.,Is this related to how I can list my product and get it listed in Digital Products section in Shopee App? ,Genuine Question,https://seller.shopee.sg/edu/article/7770,article
7770,I didn't find any useful information.,Unable to locate where to upload ACRA in Seller Centre,Negative Complaint,https://seller.shopee.sg/edu/article/7770,article
7771,I didn't find any useful information.,"Please note that some buyers only want to use for free our air coolers,  chillers and Freezers  for  free over 15 days. We cover warranty not use for ",Constructive Criticism,https://seller.shopee.sg/edu/article/7771,article
7775,There were broken links.,Hi We don't have a local base in Singapore. Would you please provide the information about how to sell on Shopee? Our brand: vivantwine.com.tw,Genuine Question,https://seller.shopee.sg/edu/article/7775,article
7998,I didn't find any useful information.,I didn't get what I'm looking for,Genuine Question,https://seller.shopee.sg/edu/article/7998,article
8167,The lessons were too difficult.,Article is too damn long.,Negative Complaint,https://seller.shopee.sg/edu/article/8167,article
8318,I didn't find any useful information.,how do I become a selected seller for max purchase limit?,Genuine Question,https://seller.shopee.sg/edu/article/8318,article
8318,I didn't find any useful information.,Cannot find this option in my listing,Negative Complaint,https://seller.shopee.sg/edu/article/8318,article
8318,I didn't find any useful information.,I Do not even have the field to input for Max Purchase. I was told its given to selected seller. i wish to be included,Negative Complaint,https://seller.shopee.sg/edu/article/8318,article
8495,I didn't find any useful information.,对于损坏的产品我要如何联系到shoppee投诉,Genuine Question,https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
8495,I didn't find any useful information.|Images/gifs did not load.,No link to request compensation. Make more fault for seller to claim from logistics.,Negative Complaint,https://seller.shopee.sg/edu/article/8495/damaged-goods-policy,article
9326,There were broken links.,Service point and operating hours broken link,"Design Feedback, Constructive Criticism",https://seller.shopee.sg/edu/article/9326,article
9326,I didn't find any useful information.,Your parcel is on-hold. Reason: [Item Not Found with Driver],Negative Complaint,https://seller.shopee.sg/edu/article/9326,article
9326,I didn't find any useful information.,"Currently our pick up service been switch to SPX Express, continuing 2 days did not attend our pick-up, totally not as this article descript into.",Negative Complaint,https://seller.shopee.sg/edu/article/9326,article
9326,I didn't find any useful information.,I cannot opt out of shopee xpress,Negative Complaint,https://seller.shopee.sg/edu/article/9326,article
9326,I didn't find any useful information.,It doesn't solve my problem. Shopee express doesn't pick up at my location at all despite me fulfilling the pick up criteria,Negative Complaint,https://seller.shopee.sg/edu/article/9326?utm_medium=notification&utm_source=appar&__dsrn__=1,article
9326,I didn't find any useful information.,I want to change my shipping chanel from j&t to spxBut there NOOption for me to do so,"Negative Complaint, Constructive Criticism",https://seller.shopee.sg/edu/article/9326,article
9625,I didn't find any useful information.,It does not contain information on what are the criteria that need to be met in order to be qualified for MPQ option.,Constructive Criticism,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,"There is no ""Minimum Purchase Quantity"" field in the product details page and mass upload template.",Constructive Criticism,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,i dont see the MOQ option,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,I cannot find the minimum purchase quantity feature,"Constructive Criticism, Design Feedback",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,there is no column to update minimum qty under my product page,Design Feedback,https://seller.shopee.sg/edu/article/9625,article
9625,I didn't find any useful information.,This is done in 2021. The layout now does not have the minimum purchase quantity.,"Design Feedback, Constructive Criticism",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,Images/gifs did not load.|There were broken links.,Minimum order quantity is no longer visible (SAFARI MAC OS),"Design Feedback, Constructive Criticism",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,"It says that this only applies for selected sellers, what about others? Thanks.",Genuine Question,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,Can't find this MOQ feature in seller center,Genuine Question,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,There is no MPQ to be found in any of the template. Is this even updated?,"Genuine Question, Design Feedback",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,The information is not updated. My account can no longer set minimum purchase quantity.,Negative Complaint,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,Outdated info.,Negative Complaint,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,I still cannot set MOQ!! There is no option for setting MOQ under my sales information. ,Negative Complaint,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,My problem not solved ,Negative Complaint,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,There were broken links.,There was no option to change the MOQ amount.,Negative Complaint,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,Could not find Minimum Purchase Quantity in excle,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.|There were broken links.,unable to view links upon clicking and did not state ways of being selected for eligibility of setting minimum order quantity,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
9625,I didn't find any useful information.,update the information please,Unknown,https://seller.shopee.sg/edu/article/9625/minimum-purchase-quantity,article
10047,There were broken links.,Some orders have print invoice option and some does not. I have some orders less than 1 month without print invoice option.,Genuine Question,https://seller.shopee.sg/edu/article/10047,article
10047,I didn't find any useful information.,I don't even that that option to print invoice so what am I expected to do?,"Genuine Question, Negative Complaint",https://seller.shopee.sg/edu/article/10047,article
10047,I didn't find any useful information.,dont have that button,Negative Complaint,https://seller.shopee.sg/edu/article/10047,article
10047,I didn't find any useful information.,there is no print invoice at all.,Negative Complaint,https://seller.shopee.sg/edu/article/10047,article
10047,I didn't find any useful information.,The information herein is not found at all.,Negative Complaint,https://seller.shopee.sg/edu/article/10047,article
10047,I didn't find any useful information.,can find the buttons shown on site. website updated but not help page.,"Negative Complaint, Design Feedback",https://seller.shopee.sg/edu/article/10047,article
